JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,JobUrl
Sr. Tax and Wealth Planning Specialist - CFP,Vanguard,"Charlotte, NC",30+ days ago,2021-02-02,"Focus on income tax planning, retirement planning, education funding analysis, executive compensation issues and stock option analysis, asset allocation…",,https://www.indeed.com/rc/clk?jk=cde5a0cff8a7ed52&fccid=510aa29fcf8f87d9&vjs=3
"Senior Associate, M&A Partnership Tax Group",KPMG,"Charlotte, NC",9 days ago,2021-02-02,"Minimum of two years of federal tax and/or M&A experience in a public accounting firm, a corporate tax department, or a law firm.",,https://www.indeed.com/rc/clk?jk=fa0462f96aaf0d3f&fccid=2dd390c3a48a7ed0&vjs=3
Business Risk & Control Senior Officer (Finance Control Org-Controllers Division),Wells Fargo,"Charlotte, NC",7 days ago,2021-02-02,"Monitor and report on risk concentration, current and emerging risk, and risk appetite. Counsels and escalates as front line liaison to Independent Risk…",,https://www.indeed.com/rc/clk?jk=79b0cf3703333efa&fccid=78bbcd26e39621f5&vjs=3
Senior - Financial Services Tax Transformation,Deloitte,"Charlotte, NC",30+ days ago,2021-02-02,"Collaborate with tax subject matter specialists to envision and design new features and products,. Collaborate with software developers to develop and deploy…",,https://www.indeed.com/rc/clk?jk=056c7573abd3ed55&fccid=9e215d88a6b33622&vjs=3
Audit Senior Associate,Dixon Hughes Goodman,"Charlotte, NC",30+ days ago,2021-02-02,"Serves the needs of the client by planning and performing audits, in addition to any other related client needs. CPA or CPA candidate preferred.",,https://www.indeed.com/rc/clk?jk=41ff9d70a632009d&fccid=8f2022a14c83ea0a&vjs=3
International Corporate Tax Advisory (ICTA) Senior - Charlotte,Ernst & Young,"Charlotte, NC",11 days ago,2021-02-02,"Tax due diligence, deal structuring, and post-acquisition planning experience and/or inbound and outbound transaction consulting with international tax research…",,https://www.indeed.com/rc/clk?jk=70f9277501010e80&fccid=1544766d4c2915b0&vjs=3
Senior Internal Auditor - Liquidity Risk,Truist Financial,"Charlotte, NC",30+ days ago,2021-02-02,"F. addressing material issues with senior management. B. planning, scoping and developing the audit test plan. 1st shift (United States of America).",,https://www.indeed.com/rc/clk?jk=768ead928d960eaa&fccid=035229327af06091&vjs=3
"Senior Manager, M&A Tax",KPMG,"Charlotte, NC",9 days ago,2021-02-02,"A minimum of eight years of experience in federal tax and/or mergers and acquisition in a public accounting firm, corporate tax department, or law firm.",,https://www.indeed.com/rc/clk?jk=9e4d5f3137b03c5f&fccid=2dd390c3a48a7ed0&vjs=3
Senior - Business Tax Services - Federal/Corporate Tax,Deloitte,"Charlotte, NC",17 days ago,2021-02-02,"As a Tax Senior Consultant within the Business Tax Services group, you will be a valuable member of tax engagement teams, providing and assisting with a variety…",,https://www.indeed.com/rc/clk?jk=95d19a8e5d5ef2c5&fccid=9e215d88a6b33622&vjs=3
"Senior Auditor - Charlotte, NC",Dentsply Sirona,"Charlotte, NC",30+ days ago,2021-02-02,"Some experience planning and executing audits. Dentsply Sirona’s products provide innovative, high-quality and effective solutions to advance patient care and…",,https://www.indeed.com/rc/clk?jk=6a1340e9818ad21d&fccid=bb44f58e3327622b&vjs=3
